Word After Lemmatization,Parts of Speech Tag,Filtered Stop Words
claasroom,NN,claasroom
Agile,NNP,Agile
Team,NNP,Team
Venn,NNP,Venn
Diagram,NNP,Diagram
Collective,NNP,Collective
Ownership,NNP,Ownership
I,PRP,I
want,VBP,want
incorporate,JJ,incorporate
mindset,NN,mindset
course,NN,courses
get,VBP,get
participant,JJ,participants
engaged,VBN,engaged
way,NN,way
feel,RBR,feel
accountable,JJ,accountable
type,JJ,type
engagement,NN,engagement
course,NN,course
well,RB,well
Kanban,NNP,Kanban
exciting,VBG,exciting
watch,NN,watch
learner,NN,learners
see,VBP,see
valuable,JJ,valuable
tool,NN,tool
team,NN,teams
Penny,NNP,Penny
exercise,NN,exercise
expecting,VBG,expecting
good,JJ,good
amount,NN,amount
interaction,NN,interaction
v,NN,vs
watching,VBG,watching
video,NN,video
IT,NNP,IT
tool,NN,tool
help,NN,help
team,NN,team
activity,NN,activities
remote,VBP,remote
class,NN,class
nice,NN,nice
know,VBP,know
We,PRP,We
used,VBD,used
Google,NNP,Google
drive,JJ,drive
team,NN,team
activity,NN,activities
breakout,IN,breakout
session,NN,session
Zoom,NNP,Zoom
Google,NNP,Google
drive,NN,drive
Google,NNP,Google
slide,NN,slide
Google,NNP,Google
spreadsheet,NN,spreadsheet
shown,VBN,shown
video,NN,video
worked,VBN,worked
well,RB,well
remote,JJ,remote
training,VBG,training
Preparation,NNP,Preparation
Google,NNP,Google
slide,NN,slide
Power,NNP,Power
point,NN,point
Google,NNP,Google
spreadsheet,NN,spreadsheet
Excel,NNP,Excel
sheet,NN,sheet
required,VBD,required
difficult,JJ,difficult
Response,NNP,Response
time,NN,time
Google,NNP,Google
drive,NN,drive
mostly,RB,mostly
ok,VBZ,ok
Some,DT,Some
narrow,JJ,narrow
bandwidth,JJ,bandwidth
accessing,VBG,accessing
student,NN,student
may,MD,may
sloe,VB,sloe
response,NN,response
exercise,NN,exercises
Google,NNP,Google
slide,NN,slide
By,IN,By
way,NN,way
SAFe,NNP,SAFe
Collaborate,NNP,Collaborate
look,NN,looks
useful,JJ,useful
interesting,JJ,interesting
default,NN,default
font,JJ,font
bit,NN,bit
small,JJ,small
eye,NN,eyes
We,PRP,We
would,MD,would
like,VB,like
discus,NN,discuss
team,NN,team
PI,NNP,PI
planning,NN,planning
tbd,NN,tbd
I,PRP,I
use,VBP,use
SAFe,JJ,SAFe
WEAVE,NNP,WEAVE
various,JJ,various
activity,NN,activities
That,IN,That
excite,NN,excite
I,PRP,I
love,VBP,love
tool,JJ,tool
PI,NNP,PI
Planning,NNP,Planning
Teaching,NNP,Teaching
common,JJ,common
SAFe,NNP,SAFe
topic,NN,topics
remotely,RB,remotely
Positive,JJ,Positive
outcome,NN,outcome
class,NN,class
enjoyed,VBN,enjoyed
material,NN,material
given,VBN,given
circumstance,NN,circumstances
limited,VBD,limited
person,NN,person
training,VBG,training
team,NN,team
execices,NNS,execices
chapter,NN,chapter
2,CD,2
SAFe,NNP,SAFe
Principles,NNP,Principles
going,VBG,going
bit,RB,bit
hectic,JJ,hectic
manage,NN,manage
LPM,NNP,LPM
SAFe,NNP,SAFe
Collaborate,NNP,Collaborate
tool,NN,tool
enable,JJ,enable
attendee,NN,attendees
work,NN,work
together,RB,together
better,RBR,better
collaborate,NN,collaborate
excited,VBN,excited
use,NN,use
collaborate,NN,collaborate
tool,NN,tool
Looks,NNP,Looks
well,RB,well
constructed,VBD,constructed
encompassing,VBG,encompassing
tool,NN,tools
needed,VBN,needed
lead,JJ,lead
course,NN,course
PI,NNP,PI
planning,NN,planning
simulation,NN,simulation
Didn,NNP,Didn
think,VBP,think
possible,JJ,possible
worked,VBN,worked
Jag,NNP,Jag
k,NN,k
nner,NN,nner
mig,NN,mig
trygg,NN,trygg
och,JJ,och
erfaren,NN,erfaren
nog,JJ,nog
att,NN,att
klara,NN,klara
av,NN,av
att,NN,att
h,NN,h
lla,NN,lla
de,IN,de
planerade,FW,planerade
klasserna,FW,klasserna
Att,NNP,Att
korta,NN,korta
ned,VBD,ned
passen,JJ,passen
och,JJ,och
samla,NN,samla
terkoppling,VBG,terkoppling
fr,JJ,fr
n,JJ,n
deltagarna,NN,deltagarna
r,NN,r
nyckeln,JJ,nyckeln
Begr,NNP,Begr
nsningarna,NN,nsningarna
ligger,NN,ligger
mitt,NN,mitt
f,NN,f
retags,VBP,retags
jligheter,NN,jligheter
att,NN,att
tillm,NN,tillm
tesg,NN,tesg
den,JJ,den
teknik,NN,teknik
och,NN,och
det,NN,det
medium,NN,media
som,NN,som
beh,NN,beh
v,NN,vs
f,NN,f
r,NN,r
att,NN,att
g,NN,g
ra,NN,ra
detta,NN,detta
bra,NN,bra
som,NN,som
jligt,NN,jligt
Merparten,NNP,Merparten
kommer,VBZ,kommer
ligga,FW,ligga
min,FW,min
egna,FW,egna
prestation,NN,prestation
och,IN,och
f,JJ,f
rm,NN,rm
ga,NN,ga
att,NN,att
h,NN,h
lla,NN,lla
klassen,VBD,klassen
engagerad,JJ,engagerad
I,PRP,I
would,MD,would
like,VB,like
try,VB,try
Collaborate,NNP,Collaborate
class,NN,class
To,TO,To
able,JJ,able
mimic,JJ,mimic
classroom,NN,classroom
experience,NN,experience
activity,NN,activities
converted,VBD,converted
seems,VBZ,seems
helpful,JJ,helpful
I,PRP,I
excited,VBD,excited
try,NN,try
activity,NN,activities
remote,VBP,remote
setting,VBG,setting
I,PRP,I
think,VBP,think
I,PRP,I
learn,VBP,learn
lot,RB,lot
gain,VB,gain
knowledge,NN,knowledge
continuously,RB,continuously
improve,VB,improve
remote,NN,remote
training,NN,trainings
I,PRP,I
really,RB,really
like,IN,like
module,NN,module
carry,VBP,carry
PI,NNP,PI
Planning,NNP,Planning
simulation,NN,simulation
simulation,NN,simulation
successful,JJ,successful
great,JJ,great
remote,JJ,remote
experience,NN,experience
Mindset,NNP,Mindset
The,DT,The
tool,NN,tools
made,VBD,made
available,JJ,available
remote,JJ,remote
training,NN,training
course,NN,courses
SAFe,NNP,SAFe
collaborate,NN,collaborate
great,JJ,great
helpful,JJ,helpful
tool,NN,tool
even,RB,even
I,PRP,I
used,VBD,used
yet,RB,yet
Try,NNP,Try
virtual,JJ,virtual
classroom,NN,classroom
The,DT,The
PI,NNP,PI
planning,NN,planning
simulation,NN,simulation
better,RBR,better
idea,NN,idea
expect,VBP,expect
Principles,NNP,Principles
important,JJ,important
powerful,JJ,powerful
PI,NNP,PI
Planning,NNP,Planning
Simulation,NNP,Simulation
activity,NN,activity
let,NN,lets
participant,NN,participants
experience,NN,experience
feel,NN,feels
PIPE,NNP,PIPE
show,NN,shows
PIPE,NNP,PIPE
remotely,RB,remotely
penny,JJ,penny
activity,NN,activity
usually,RB,usually
energizes,VBZ,energizes
participant,JJ,participants
help,NN,helps
understand,VB,understand
value,NN,value
small,JJ,small
batch,NN,batches
Remote,NNP,Remote
Training,NNP,Training
Aid,NNP,Aid
SAFe,NNP,SAFe
DevOps,NNP,DevOps
course,NN,course
Copied,NNP,Copied
slide,NN,slides
onto,IN,onto
Miro,NNP,Miro
board,NN,board
easy,JJ,easy
run,VBN,run
class,NN,class
pas,NN,pass
penny,NN,penny
exercise,NN,exercise
Small,NNP,Small
batch,NN,batch
Templates,NNP,Templates
class,NN,class
kanban,NN,kanban
PI,NNP,PI
I,PRP,I
looking,VBG,looking
forward,RB,forward
using,VBG,using
SAFe,NNP,SAFe
Collaborate,NNP,Collaborate
pi,NN,pi
simulation,NN,simulation
feel,VB,feel
magic,JJ,magic
planning,VBG,planning
retrospective,JJ,retrospective
Penny,NNP,Penny
Game,NNP,Game
Interested,NNP,Interested
see,VBP,see
well,RB,well
something,NN,something
work,NN,work
previously,RB,previously
considered,VBN,considered
possible,JJ,possible
person,NN,person
Try,NNP,Try
Virtual,NNP,Virtual
classroom,NN,classroom
Collaborate,NNP,Collaborate
I,PRP,I
LOVE,VBP,LOVE
new,JJ,new
interactive,JJ,interactive
slide,NN,slides
Virtual,NNP,Virtual
Classroom,NNP,Classroom
Some,DT,Some
older,VBP,older
material,NN,material
well,RB,well
done,VBN,done
honest,JJS,honest
really,RB,really
step,VB,step
guy,NN,guys
assisting,VBG,assisting
u,JJ,us
teaching,VBG,teaching
remotely,RB,remotely
Looking,VBG,Looking
forward,RB,forward
using,VBG,using
Collaborate,NNP,Collaborate
next,JJ,next
year,NN,year
PI,NNP,PI
Planning,NNP,Planning
simulation,NN,simulation
Agility,NNP,Agility
scale,NN,scale
avtive,JJ,avtive
interaction,NN,interaction
PI,NNP,PI
Planning,NNP,Planning
simulation,NN,simulation
favourite,VBD,favourite
The,DT,The
reason,NN,reason
favourite,JJ,favourite
one,CD,one
Agile,NNP,Agile
Release,NNP,Release
Trains,NNP,Trains
I,PRP,I
coached,VBD,coached
virtual,JJ,virtual
came,VBD,came
naturally,RB,naturally
sought,VBN,sought
topic,NN,topic
I,PRP,I
explore,VBP,explore
using,VBG,using
SAFe,NNP,SAFe
Collaborate,NNP,Collaborate
course,NN,course
delivery,NN,delivery
tool,NN,tool
hope,NN,hopes
work,NN,works
well,RB,well
upcoming,JJ,upcoming
class,NN,classes
I,PRP,I
expect,VBP,expect
facilitate,JJ,facilitate
PI,NNP,PI
planning,NN,planning
I,PRP,I
think,VBP,think
PI,NNP,PI
planning,VBG,planning
way,NN,way
good,JJ,good
way,NN,way
team,NN,teams
understand,VBP,understand
need,NN,need
keep,VB,keep
good,JJ,good
communication,NN,communication
within,IN,within
team,NN,team
team,NN,teams
well,RB,well
execute,RB,execute
real,JJ,real
thing,NN,thing
The,DT,The
penny,NN,penny
game,NN,game
I,PRP,I
always,RB,always
enjoy,VBP,enjoy
teaching,VBG,teaching
PI,NNP,PI
Planning,NNP,Planning
Simulation,NNP,Simulation
even,RB,even
challenging,VBG,challenging
The,DT,The
student,NN,students
learn,RB,learn
much,JJ,much
practicing,VBG,practicing
low,JJ,low
risk,NN,risk
environment,NN,environment
Giving,VBG,Giving
attendee,JJ,attendees
tool,NN,tools
work,NN,work
breakout,NN,breakout
group,NN,groups
remotely,RB,remotely
best,JJS,best
company,NN,companies
allow,VB,allow
Miro,NNP,Miro
mural,JJ,mural
major,JJ,major
benefit,NN,benefit
preparing,VBG,preparing
remote,JJ,remote
training,VBG,training
The,DT,The
new,JJ,new
Remote,NNP,Remote
Penny,NNP,Penny
Game,NNP,Game
It,PRP,It
seems,VBZ,seems
PI,NNP,PI
Planning,NNP,Planning
exercise,NN,exercise
much,RB,much
easier,JJR,easier
administer,NN,administer
tool,NN,tool
Also,RB,Also
empathy,JJ,empathy
mapping,VBG,mapping
better,JJR,better
tool,NN,tool
method,NN,methods
PI,NNP,PI
planning,NN,planning
Penny,NNP,Penny
exercise,NN,exercise
Hope,NNP,Hope
student,NN,students
realize,VB,realize
large,JJ,large
batch,NN,batches
cause,NN,cause
waiting,VBG,waiting
slower,JJR,slower
flow,JJ,flow
large,JJ,large
variance,NN,variance
The,DT,The
Remote,NNP,Remote
Learner,NNP,Learner
exercise,NN,exercises
I,PRP,I
used,VBD,used
one,CD,ones
SAI,NNP,SAI
well,RB,well
created,VBD,created
The,DT,The
tip,NN,tips
provided,VBD,provided
super,JJ,super
helpful,JJ,helpful
way,NN,way
effectively,RB,effectively
facilitate,JJ,facilitate
activity,NN,activities
remote,VBP,remote
training,VBG,training
Remote,NNP,Remote
penny,NN,penny
game,NN,game
creates,VBZ,creates
engagement,JJ,engagement
watching,VBG,watching
video,NN,video
solidifies,NNS,solidifies
understanding,VBG,understanding
PI,NNP,PI
Planning,NNP,Planning
Safe,NNP,Safe
Collaboration,NNP,Collaboration
tool,NN,tool
lokks,VBD,lokks
awesome,JJ,awesome
SAFe,NNP,SAFe
Virtual,NNP,Virtual
Class,NNP,Class
integrate,NN,integrate
SAFe,NNP,SAFe
collaborate,NN,collaborate
template,NN,template
activity,NN,activities
along,IN,along
Digital,NNP,Digital
workbook,NN,workbook
related,VBN,related
material,NN,material
one,CD,one
place,NN,place
It,PRP,It
easy,JJ,easy
experience,NN,experience
participant,NN,participants
create,NN,create
great,JJ,great
virtual,JJ,virtual
learning,NN,learning
experience,NN,experience
SAFe,NNP,SAFe
Collaborate,NNP,Collaborate
More,RBR,More
effective,JJ,effective
engaging,VBG,engaging
learning,VBG,learning
experience,NN,experience
PI,NNP,PI
Planning,NNP,Planning
Simulation,NNP,Simulation
The,DT,The
penny,NN,penny
game,NN,game
great,JJ,great
class,NN,class
activity,NN,activity
I,PRP,I
yet,RB,yet
found,VBD,found
good,JJ,good
virtual,JJ,virtual
substitute,NN,substitute
I,PRP,I
excited,VBD,excited
PI,NNP,PI
planning,VBG,planning
simulation,NN,simulation
using,VBG,using
SAFe,NNP,SAFe
collaborate,NN,collaborate
SAFe,NNP,SAFe
Collaborate,NNP,Collaborate
remote,VBP,remote
PI,NNP,PI
Planning,NNP,Planning
Lean,NNP,Lean
agile,IN,agile
leadership,NN,leadership
The,DT,The
Group,NNP,Group
activity,NN,activities
PI,NNP,PI
Planning,NNP,Planning
session,NN,session
These,DT,These
bring,VBP,bring
full,JJ,full
clarity,NN,clarity
concept,NN,concepts
amongst,NN,amongst
learner,NN,learners
Weighted,VBD,Weighted
Shortest,NNP,Shortest
Job,NNP,Job
First,NNP,First
WSJF,NNP,WSJF
We,PRP,We
process,VBP,process
refining,VBG,refining
implementation,NN,implementation
WSJF,NNP,WSJF
moment,NN,moment
feature,NN,features
Epics,NNPS,Epics
I,PRP,I
excited,VBD,excited
teach,NN,teach
theory,NN,theory
enhance,NN,enhance
learner,NN,learner
experience,NN,experience
recent,JJ,recent
story,NN,stories
implementation,NN,implementation
gone,VBN,gone
feedback,JJ,feedback
WSJF,NNP,WSJF
received,VBD,received
people,NNS,people
organisation,JJ,organisation
work,VBP,work
All,DT,All
training,NN,training
delivered,VBN,delivered
internally,RB,internally
I,PRP,I
would,MD,would
look,VB,look
forward,RB,forward
discus,NN,discuss
team,NN,team
collaboration,NN,collaboration
would,MD,would
tie,VB,tie
remote,JJ,remote
work,NN,work
environment,NN,environment
currently,RB,currently
experiencing,VBG,experiencing
I,PRP,I
would,MD,would
anticipate,VB,anticipate
constructive,JJ,constructive
discussion,NN,discussion
around,IN,around
I,PRP,I
intrigued,VBP,intrigued
paper,NN,paper
ball,NN,ball
skewer,JJR,skewers
penny,NN,penny
exercise,NN,exercise
succeed,VB,succeed
I,PRP,I
definitely,RB,definitely
practice,NN,practice
ahead,RB,ahead
time,NN,time
think,NN,think
work,NN,work
well,RB,well
Roles,NNP,Roles
venn,FW,venn
diagram,NN,diagram
PI,NNP,PI
Planning,NNP,Planning
Simulation,NNP,Simulation
Aid,NNP,Aid
PI,NNP,PI
Planning,NNP,Planning
Iteration,NNP,Iteration
Execution,NNP,Execution
I,PRP,I
use,VBP,use
learner,JJ,learners
enjoyed,VBN,enjoyed
I,PRP,I
really,RB,really
look,VBP,look
forward,RB,forward
use,VBP,use
SAFe,JJ,SAFe
Virtual,NNP,Virtual
Classroom,NNP,Classroom
capablities,NNS,capablities
exercise,VBP,exercises
I,PRP,I
think,VBP,think
Top,JJ,Top
Leadership,NNP,Leadership
Team,NNP,Team
get,VB,get
good,JJ,good
understanding,NN,understanding
SAFe,NNP,SAFe
function,NN,functions
needed,VBD,needed
continuous,JJ,continuous
learning,NN,learning
Because,IN,Because
remote,JJ,remote
training,VBG,training
part,NN,part
continuous,JJ,continuous
learning,VBG,learning
exercise,NN,exercise
I,PRP,I
like,VBP,like
coin,VBP,coin
exercisthe,VBP,exercisthe
I,PRP,I
want,VBP,want
give,JJ,give
virtual,JJ,virtual
classroom,NN,classroom
Collaborate,NNP,Collaborate
try,VB,try
Some,DT,Some
remote,JJ,remote
aid,NN,aids
like,IN,like
Penny,NNP,Penny
game,NN,game
never,RB,never
tried,VBD,tried
interesting,VBG,interesting
The,DT,The
PI,NNP,PI
Planning,NNP,Planning
well,RB,well
equipped,VBD,equipped
The,DT,The
training,NN,training
make,VBP,make
possible,JJ,possible
demonstrate,NN,demonstrate
make,VBP,make
PI,NNP,PI
Planning,NNP,Planning
remotely,RB,remotely
possible,JJ,possible
thanks,NNS,thanks
experience,VBP,experience
The,DT,The
remote,JJ,remote
activity,NN,activities
like,IN,like
penny,NN,penny
game,NN,game
worked,VBD,worked
surprisingly,RB,surprisingly
well,RB,well
Learners,NNP,Learners
fun,NN,fun
also,RB,also
got,VBD,got
intended,VBN,intended
learning,VBG,learning
Agile,NNP,Agile
Product,NNP,Product
Management,NNP,Management
interested,JJ,interested
using,VBG,using
pruning,VBG,pruning
tool,NN,tools
think,VBP,think
work,NN,work
quite,RB,quite
well,RB,well
remotely,RB,remotely
Leading,VBG,Leading
SAFe,NNP,SAFe
I,PRP,I
delighted,VBD,delighted
lot,NN,lot
activity,NN,activities
carry,VBP,carry
virtually,RB,virtually
Definitely,NNP,Definitely
Collaboration,NNP,Collaboration
Platform,NNP,Platform
I,PRP,I
looking,VBG,looking
tool,NN,tool
long,JJ,long
time,NN,time
Right,NNP,Right
I,PRP,I
got,VBD,got
everything,NN,everything
I,PRP,I
need,VBP,need
one,CD,one
place,NN,place
SAFe,NNP,SAFe
Collaborate,NNP,Collaborate
Virtual,NNP,Virtual
Classroom,NNP,Classroom
enabler,NN,enabler
Gives,NNP,Gives
edge,NN,edge
keep,NN,keep
engaging,VBG,engaging
student,NN,students
effectively,RB,effectively
Safe,JJ,Safe
Principles,NNP,Principles
PI,NNP,PI
Planning,NNP,Planning
clarifies,NNS,clarifies
key,VBD,key
concept,VB,concepts
one,CD,one
go,VB,go
k,JJ,k
virtual,JJ,virtual
job,NN,job
aid,NN,aid
collaboration,NN,collaboration
document,NN,document
think,VBP,think
wil,IN,wil
suitable,JJ,suitable
replacement,NN,replacement
class,NN,class
poster,NN,poster
flip,VBP,flip
chart,JJ,charts
student,NN,students
swarm,NN,swarm
work,NN,work
The,DT,The
penny,JJ,penny
game,NN,game
I,PRP,I
tried,VBD,tried
already,RB,already
result,VB,results
amazing,VBG,amazing
SAFe,NNP,SAFe
tool,NN,tools
remote,JJ,remote
class,NN,classes
good,JJ,good
leading,VBG,leading
safe,JJ,safe
PI,NNP,PI
PLanning,NNP,PLanning
Just,NNP,Just
I,PRP,I
think,VBP,think
biggest,JJS,biggest
benefit,NN,benefit
SAFe,JJ,SAFe
Collaborate,NNP,Collaborate
coin,NN,coin
game,NN,game
template,JJ,template
Lean,NNP,Lean
Agile,NNP,Agile
Leadership,NNP,Leadership
I,PRP,I
excited,VBD,excited
SAFe,NNP,SAFe
material,NN,material
developed,VBD,developed
interactively,RB,interactively
use,JJ,use
remote,JJ,remote
session,NN,sessions
I,PRP,I
expect,VBP,expect
group,NN,group
coming,VBG,coming
together,RB,together
maybe,RB,maybe
even,RB,even
fun,RBR,fun
In,IN,In
Class,NNP,Class
I,PRP,I
excited,VBD,excited
using,VBG,using
new,JJ,new
remote,JJ,remote
Activity,NNP,Activity
Guides,NNP,Guides
specifically,RB,specifically
Accelerating,VBG,Accelerating
Value,NNP,Value
Delivery,NNP,Delivery
exercise,NN,exercise
Excited,NNP,Excited
use,NN,use
collaborate,NN,collaborate
The,DT,The
use,NN,use
breakout,NN,breakout
room,NN,rooms
student,NN,students
really,RB,really
love,VB,love
getting,VBG,getting
group,NN,groups
sharing,VBG,sharing
PI,NNP,PI
planning,NN,planning
excited,VBN,excited
use,IN,use
new,JJ,new
remote,NN,remote
learning,VBG,learning
tool,JJ,tools
template,NN,templates
PI,NNP,PI
Planning,NNP,Planning
simulation,NN,simulation
Collaborator,NNP,Collaborator
sound,NN,sounds
like,IN,like
environment,NN,environment
I,PRP,I
looking,VBG,looking
Demonstrating,VBG,Demonstrating
flow,JJ,flow
virtual,JJ,virtual
environment,NN,environment
Coin,NNP,Coin
game,NN,game
effective,JJ,effective
real,JJ,real
life,NN,life
I,PRP,I
looking,VBG,looking
forward,RB,forward
utilize,JJ,utilize
virtual,JJ,virtual
version,NN,version
SAFe,NNP,SAFe
virtual,JJ,virtual
classroom,NN,classrooms
using,VBG,using
Collaborate,NNP,Collaborate
easier,JJR,easier
setup,NN,setup
instructor,NN,instructor
use,NN,use
sai,JJ,sai
website,NN,website
learner,NN,learners
To,TO,To
use,VB,use
use,NN,use
SAFe,NNP,SAFe
Collaborate,NNP,Collaborate
might,MD,might
help,VB,help
setup,VB,setup
remote,JJ,remote
course,NN,courses
faster,RBR,faster
le,JJ,less
overhead,JJ,overhead
SAFe,NNP,SAFe
Collaboration,NNP,Collaboration
tool,NN,tool
customer,NN,customer
centriciy,NN,centriciy
PI,NNP,PI
Planning,NNP,Planning
Hard,NNP,Hard
define,VBZ,define
one,CD,one
Excited,NNP,Excited
new,JJ,new
normal,JJ,normal
moving,VBG,moving
virtual,JJ,virtual
teaching,NN,teaching
using,VBG,using
platform,NN,platform
show,NN,show
although,IN,although
room,NN,room
together,RB,together
still,RB,still
stay,VB,stay
connected,VBN,connected
The,DT,The
PI,NNP,PI
Planning,NNP,Planning
simulation,NN,simulation
I,PRP,I
already,RB,already
done,VBN,done
twice,RB,twice
Geekbooks,NNP,Geekbooks
I,PRP,I
want,VBP,want
try,JJ,try
Alice,NNP,Alice
soon,RB,soon
I,PRP,I
think,VBP,think
student,NN,students
really,RB,really
get,VB,get
value,NN,value
need,VBP,need
investment,NN,investment
technology,NN,technology
remote,JJ,remote
collaboration,NN,collaboration
order,NN,order
successful,JJ,successful
organization,NN,organizations
The,DT,The
penny,NN,penny
exercise,NN,exercise
provides,VBZ,provides
insight,JJ,insight
aha,JJ,aha
moment,NN,moments
learner,NN,learners
difference,NN,difference
waterfall,NN,waterfall
Agile,NNP,Agile
big,JJ,big
batch,NN,batch
small,JJ,small
batch,NN,batch
Leading,NNP,Leading
SAFe,NNP,SAFe
PI,NNP,PI
Planning,NNP,Planning
Simulation,NNP,Simulation
SAFe,NNP,SAFe
Scrum,NNP,Scrum
Master,NNP,Master
SAFe,NNP,SAFe
Product,NNP,Product
Owner,NNP,Owner
The,DT,The
access,NN,access
SAFe,NNP,SAFe
Collaborate,NNP,Collaborate
SAFe,NNP,SAFe
For,IN,For
Teams,NNP,Teams
Collaboration,NNP,Collaboration
Tools,NNP,Tools
penny,JJ,penny
game,NN,game
ball,JJ,ball
game,NN,game
I,PRP,I
always,RB,always
loved,VBD,loved
two,CD,two
never,RB,never
figured,VBD,figured
interactively,RB,interactively
I,PRP,I
love,VBP,love
Thank,NNP,Thank
Google,NNP,Google
Drive,NNP,Drive
Templates,NNP,Templates
Group,NNP,Group
Activities,NNP,Activities
easy,VBZ,easy
use,RB,use
Well,NNP,Well
Done,NNP,Done
SAFe,NNP,SAFe
Teams,NNP,Teams
Previously,NNP,Previously
difficult,JJ,difficult
exercise,NN,exercises
I,PRP,I
excited,VBD,excited
try,NN,try
SAFe,NNP,SAFe
Collaborate,NNP,Collaborate
seems,VBZ,seems
set,VBN,set
really,RB,really
engage,JJ,engage
learner,NN,learners
Lean,NNP,Lean
Agile,NNP,Agile
Mindset,NNP,Mindset
change,NN,change
culture,NN,culture
change,NN,change
PI,NNP,PI
planning,NN,planning
remotely,RB,remotely
already,RB,already
interesting,VBG,interesting
see,VB,see
training,VBG,training
aligns,NNS,aligns
ASDF,NNP,ASDF
PI,NNP,PI
planning,VBG,planning
Using,VBG,Using
Google,NNP,Google
Spreadsheets,NNP,Spreadsheets
Google,NNP,Google
Slides,NNP,Slides
PI,NNP,PI
Planning,NNP,Planning
Simulation,NNP,Simulation
SAFe,NNP,SAFe
Teams,NNP,Teams
I,PRP,I
